a 一 一个 每
aback 向后
abstenmious 有节制
abstention 节制
absterge 洗净
abstergent 去垢剂
abstergent 去垢
abstersion 净化
abstinence 节制
abstract 抽象
abstract 提炼
abstract 文摘
abstraction 提取
abstractist 抽象派艺术家
abstractly 抽象地
abstractness 抽象性
abstractor 摘录者
abstruse 深奥
abstruseness 深奥
absurd 荒谬
absurdism 荒诞主义
absurdist 荒诞派
absurdist 荒诞主义者
absurdity 荒谬
absurdness 荒谬
abundance 丰富充裕
abundant 丰富
abusage 滥用
abuse 弊端
abuse 滥用
abusive 误用
abusively 刻薄
abut 连接
abutal 承座
abutals 境界
abutment 支座
abutment 邻接
abysmal 深不可测
abyss 深渊
abyssal 深海
acacia 阿拉伯树胶
academic 学术
academy 学院
accede 同意
accelerant 促进剂
accelerate 加速
acceleration 加速
accelerator 加速器
accent 口音
accent 强调
accentuate 着重强调
accept 接受
acceptable 可接受
acceptably 可以接受地
acceptance 接受
acceptant 容易接受
acceptation 意义
accepted 接受
accepted 可接受
accepter 接受者
acceptor 接受者
acceptor 接收器
access 存取
access 访问
access 接近
accessible 易接近
accession 发作
accession 接近
accessory 附件
accessory 从犯
accidence 入门
accident 事故
accidental 偶然
accidentally 偶然地
acclaim 欢呼
acclamation 赞同
acclamatory 欢呼
acclimatize 适应
acclivity 倾斜
acclivous 向上倾斜
accolade 荣誉
accommodate 提供
accommodator 调解人
accompany 伴随
accompany 伴奏
accomplice 从犯
accomplish 完成
accord 给与
accordance 依据
accordant 一致
accordingly 因此
accordion 手风琴
accordist 手风琴演奏者
accost 招呼
account 说明
account 账目
account 应用
account 解释
account 原由
accountable 负有责任
accountancy 会计工作
accountant 会计员
accra 阿克拉
accredit 委任
accretion 增长
accrue 增长
accumulate 积累
accumulation 积累
accumulator 蓄电池
accumulator 累积者
accumulator 累加器
accuracy 精确性
accurate 精确
accurately 精确地
accursed 可恶
accusable 受到谴责
accusant 指责者
accusation 谴责
accusatory 非难
accuse 控告
accuser 原告
accustom 习惯
ace 高手
ace 一流的
ace 卓越的
acedia 懒惰
acedia 淡漠忧郁症
acetate 醋酸盐
acetic 醋
acetone 丙酮
acetylene 乙炔
ache 疼痛
achieve 达到目标
achieve 达成
achievement 达成
achievement 成就
achromate 色盲患者
achromatic 无色
achromatous 无色
achromic 无色
acid 酸
acidic 酸性
acidify 酸化
acidity 酸性
acidulous 尖刻
acknowledge 承认
acme 顶点
acne 痤疮
acnodal 孤点
acnode 孤立点
acoumetre 测声器
acoustic 声学
acoustical 声学
acoustician 声学家
acousticon 助听器
acoustics 声学
acousticses 音响效果
acquaint 熟悉
acquaintance 熟悉
acquaintance 交往
acquiesce 默认
acquiescence 默许
acquire 获取
acquisition 获得
acquisitive 渴求
acquit 宣告
acquittal 宣判无罪
acre 英亩
acrobat 杂技演员
acrobatics 特技飞行
acrobatics 杂技
acronym 缩写
across 横跨
act 行动
act 行为
acta 学报
actable 可上演
acting 行动
acting 助理
actinic 光化学
actinicity 光化性
actinism 射线作用
actinium 锕
actinoid 放射线状
actinology 放射线学
action 行动
action 反应
activate 激活
activation 激活
activator 催化剂
active 积极
actively 积极地
activity 活动
actor 演员
actress 女演员
actual 实际
actuality 实际情况
actualize 实现
actually 实际上
actuate 促使
actuation 驱使
acuate 尖锐
acuity 尖锐
acumen 聪明才智
acupuncture 施行针刺疗法
acupuncture 针刺
acute 尖锐
acutely 剧烈地
acuteness 敏锐
ad 广告
ad 公元
adage 格言
adam 亚当
adamant 坚硬
adamstown 亚当斯敦
adapt 适应
adaptability 适应性
adaptable 适合
adaptation 适应
adaptive 适应
add 增加
addable 可增加
added 增加
added 附加
addend 加数
addendum 补遗
adder 加法器
adder 小毒蛇
addict 沉溺
addict 吸毒者
addiction 沉溺
addison 爱迪生
addition 增加
additional 附加
additionally 另外
additive 添加剂
additive 添加
addle 混乱
address 提出
address 地址
addressee 收信人
addresser 发信人
adduce 提出
adducible 可以引用
adduction 引用
adelaide 阿德雷德
aden 亚丁
adenoma 腺瘤
adept 精通
adept 内行
adeptly 熟练地
adequacy 适当
adequate 充分
adequately 充分地
adhere 坚持
adherence 坚持
adherent 追随者
adhesion 支持
adhesive 胶粘
adhesive 粘合剂
adhibit 粘帖
adiabatic 绝热
adiaphorous 中立
adiathermal 绝热
adjacency 邻接
adjacent 邻近
adjective 形容词
adjoin 靠近
adjoin 相互毗连
adjourn 暂时中止
adjournment 延期
adjudge 宣判
adjudgment 宣判
adjudicate 判定
adjudicate 裁定
adjudication 裁定
adjudicative 判定
adjudicator 评判人
adjunct 附件
adjunct 助手
adjunct 附属
adjure 恳求
adjust 调整
adjustable 可调整
adjuster 调解者
adjuster 调整器
adjustment 调整
adjutant 补助
adjutant 副官
adjuvant 辅佐
adjuvant 助理员
adlteration 冒牌货
adlteration 掺杂
admeasure 分配
adminicular 补充
administer 管理
admirable 极好地
admirably 极好地
admiral 海军上将
admiration 羡慕
admire 钦佩
admirer 敬慕者
admissible 可接受
admission 承认
admissive 容许
admit 承认
admit 进入
admittable 可接受
admittance 进入
admittedly 明白地
admix 掺杂
admixture 混合
admixture 混杂物
admonish 训诫
admonish 告诫
admonition 警告
admonitor 劝告者
admonitory 劝告
ado 费力
ado 无谓的纷扰
adobe 用砖坯砌
adobe 砖坯
adolescence 青春期
adolescency 青春期
adolescent 青春期
adopt 采取
adoptable 可采用
adopter 接收器
adopter 采纳者
adorable 值得崇拜
adorably 崇拜
adoration 崇拜
adore 崇拜
adorer 崇拜者
adorn 装饰
adornment 装饰
adosculation 体外受精
adrenalin 肾上腺素
adrift 漂泊
adroit 熟练
adroitly 熟练地
adroitness 熟练
adscititious 附加
adsorb 吸附
adsorbent 吸附剂
adsorbent 吸附
adsorption 吸附
adulate 奉承
adulation 奉承
adulator 谄媚者
adulatory 奉承
adult 成年人
adulterate 混杂
adulterator 伪造者
adulterer 奸夫
adulteress 奸妇
adulterine 不正当
adulterine 私生子
adulterous 不正当
adultery 私通
adulthood 成年
adumbrate 预示
adumbration 预兆
advance 进步
advance 前进
advance 推进
advanced 高级
advanced 推进
advancement 进展
advantage 优点
advantage 有利于
advantageous 有利
advection 对流
advent 出现
adventitious 偶然
adventive 引进品种
adventive 外来
adventure 冒险
adventurer 冒险家
adventuress 女冒险家
adventurism 冒险主义
adventurous 胆大
adverb 副词
adversary 敌对者
adverse 不利
adversity 逆境
advert 提到
advertise 做广告
advice 意见
advisable 合理
advise 劝告
advisedly 故意地
advisement 忠告
adviser 顾问
advisory 顾问
advocacy 主张
advocate 提倡
advocate 拥护者
advocate 主张
advocator 拥护者
adynamia 虚弱
adynamic 虚弱
aegis 保护
aerate 充气
aerator 鼓风机
aerial 空中
aeriscope 超光电摄象管
aeroboat 水上飞机
aerobus 客机
aerocade 飞行队
aerocamera 航空照相机
aerocraft 飞行器
aerodone 滑翔机
aerodrome 飞机场
aerodynamic 气动
aerodynamics 空气动力学
aeroelastic 气动弹性
aerofoil 翼面
aerogram 航空信件
aerograph 航空气象记录仪
aerography 大气状况图表
aerolite 陨石
aerology 大气学
aeromancy 天气预报
aerometer 气体比重计
aeronautic 航空
aeronautical 航空
aeronautics 航空学
aeronomy 高层大气物理学
aerophare 无线电信标
aerophone 无线电话机
aeroplane 飞机
aeroscout 空中巡逻
aerospace 航空航天
aerosphere 大气层
aerostatic 空气静力学
aerostatics 空气静力学
aesthesia 感觉
afar 远远地
affability 和蔼可亲
affable 亲切友好
affair 事务
affect 影响
affectation 假装
affectedly 装模作样地
affection 感情
affiliate 吸收
affinity 亲合力
affinity 密切关系
affirm 肯定
affirmative 肯定
affix 附加
afflict 痛楚
affliction 痛苦
affluence 富裕
affluent 富裕
afflutinate 胶合
afford 提供
afforest 造林
affray 骚扰
affront 侮辱
afghan 阿富汗语
afghan 阿富汗
afghanistan 阿富汗
afield 在野外
afire 大为激动
aforetime 从前
afp 法新社
afraid 害怕
afresh 重新
africa 非洲
african 非洲人
african 非洲
after 在
afterbody 物理后部
afterburning 复燃
aftercurrent 剩余电流
afterdeck 后甲板
aftereffect 副作用
afterglow 余辉
afterimage 残留影象
aftermath 后果
aftermost 最后头
afternoon 下午
afterpulse 剩余脉冲
afterward 后来
afterwinds 余风
afterword 编后记
ag 美国
again 再一次
against 反对
against 抗击
against 提防
against 以免
against 靠着
against 防备
agana 阿加尼亚
agate 玛瑙
agaze 注视
age 年龄
age 岁
age 时代
age 变老
aged 老年
agedness 高龄
agency 机构
agenda 议事日程
agent 成员
agerpres 罗马尼亚通讯社
agglutinate 胶合一起
agglutinate 粘合在一起
aggrandize 增加
aggravate 恶化
aggravation 恶化
aggregate 聚合
aggregative 聚合
aggress 侵略
aggression 侵略
aggressive 积极
aggressor 侵略者
aggrieve 感到痛心
agile 敏捷
agility 敏捷
agitate 搅动
agitate 鼓动
agitation 搅拌
agitator 搅拌器
agitator 鼓吹者
agnosia 失认识能
agnostic 不可知论者
agnostic 不可知论
agnosticism 不可知论
ago 以前
agonize 苦闷
agony 苦恼
agraffe 搭扣
agrarian 土地
agravic 无重力
agravic 无重力状态
agravity 失重
agree 同意
agreeable 适宜
agreeably 协调一致地
agreement 同意
agreement 协议
agricultural 农业
agriculture 农业
aground 在地上
ague 疟疾
ahead 前面
aid 援助
aid 帮助
aide 副官
aidman 急救员
aidpost 救护所
aids 援助
aids 爱滋病
aidstation 救护所
ail 烦恼
ail 生病
aileron 副翼
ailment 小病
aim 目标
aim 对准
aim 打算
aimless 毫无目标
aimlessly 无目的地
air 空气
air 空中
air 态度
airbase 空军基地
airblast 空中爆炸
airborne 机降
aircraft 飞机
aircrew 空勤人员
airdrop 空投
airfield 机场
airflow 气流
airfoil 机翼
airframe 飞机骨架
airily 轻快地
airiness 轻快
airland 空地一体
airline 航线
airliner 班机
airmail 航空
airman 航空兵
airmanship 航空术
airmobile 空中机动
airplane 飞机
airport 机场
airpower 制空权
airproof 密封
airship 飞艇
airsickness 晕机
airspace 空域
airspeed 空速
airstream 气流
airstrip 机场跑道
airtime 广播时间
airway 航线
airways 航空公司
airwoman 女飞行员
airworthy 适航
akin 类似
alabama 亚拉巴马
alacrity 乐意
aladdin 阿拉廷
alalia 语言不清
alarm 警报
alarm 警告
alaska 阿拉斯加
albania 阿尔巴尼亚
albanian 阿尔巴尼亚
albanian 阿尔巴尼亚人
albedo 反照率
albm 空中发射弹道导弹
alcm 空中发射巡航导弹
alcohol 酒精
alcoholic 酒鬼
alcoholic 含酒精
alcoholism 酒精中毒
alcove 空地
alembic 蒸馏器
aleppo 阿勒颇
alert 警惕
alert 警戒
alert 警报
alertly 机警地
alertor 报警器
aleutian 阿留申群岛
alexandria 亚历山大
algebra 代数
algebraic 代数
algeria 阿尔及利亚
algerian 阿尔及利亚
algerian 阿尔及利亚人
algiers 阿尔及尔
algorism ┼进制
algorithm 算法
algorithmic 算法
alibi 辩解
alien 不同
alienate 疏远
alienation 疏远
alienist 精神病学者
alight 下
alight 发光
align 结盟
alignment 联盟
alike 相似
alike 以同样的方式
aliment 滋养品
alimental 富有营养
alimentation 营养
alimony 生活费
alive 活
alkali 碱
alkaline 碱性
all 全部
all 一切
all 所有
all 完全
all 所有的
allege 宣称
allegedly 断然
allegiance 忠诚
allegory 比喻
alleviate 减轻
alleviation 缓和
alley 胡同
alliance 同盟
allied 联合
allied 同盟
allies 同盟国
allocate 布署
allocation 布署
allocator 分配程序
allot 分配
alloter 分配器
allotment 分配
allotrope 同素异形体
allotropy 同素异形
allow 允许
allowance 许可
allowance 公差
alloy 合金
alloy 合铸
allrights 版权所有
allude 暗示
allure 吸引
allurement 诱惑力
allurement 诱惑
ally 盟国
ally 同盟
almost 几乎
alnico 铝镍钴合金
alofi 阿洛菲
aloft 高高地
alone 单独地
along 沿着
along 按着
alongside 傍靠
aloud 高声
alperm 高导磁合金
alphabet 字母表
alphabetic 字符
alphascope 字母显示器
already 已经
alsimag 铝硅镁合金
also 也
also 同时
alt 切换键
alt 中高音
altazimuth 高度方位仪
alter 改变
alterability 可变性
alterable 可变
alteration 变更
alternate 予备
alternate 改变
alternative 予备
alternative 选择
alternator 交流发电机
although 虽然
altimeter 高度计
altimetric 测高学
altimetry 测高学
altitude 高度
altogether 总共
altostratus 高层云
alumel 镍铝锰合金
alumina 氧化铝
aluminium 铝
aluminum 铝
alveolar 肺泡
alvine 小肠
always 总是
amalgamate 结合
amateur 业余者
amateur 业余
amaze 大为吃惊
amazement 惊异
amazing 惊人
ambassador 大使
ambassadress 大使夫人
amber 琥珀
ambient 环境
ambiguity 二义性
ambiguous 歧义
ambipolar 双极
ambit 范围
ambition 雄心
ambition 热望
ambitious 有雄心
amble 缓慢行走
ambulance 野战医院
ambulant 走动
ambulate 走动
ambush 伏击
ameliorate 改善
amelioration 改善
amenability 适应性
amenable 顺从
amend 改正
amendable 可改正
amendment 修正案
amenity 舒适
amenorrhea 经闭
amerce 罚款
amercement 罚金
amercement 罚款
america 美国
american 美国
american 美国人
americium 镅
ameripol 人造橡皮
amicable 友好
amidst 在
amiss 有差错
amiss 不恰当地
amity 友好
amman 安曼
ammeter 电流表
ammonia 氨
ammonium 铵
ammunition 核生化武器
ammunition 弹药
amnesia 遗忘症
amnesty 大赦
amnesty 赦免
among 在
amorous 多情
amorphous 无定形
amortisation 阻尼
amortisseur 缓冲器
amortization 缓冲
amortize 分期清偿
amount 高达
amount 量
amoy 厦门
amperage 电流强度
ampere 安培
amperemeter 安培计
amphibian 两栖
amphibious 两栖
ample 充分
amplifier 放大器
amplify 扩大
amplitude 振幅
amply 充分地
amputate 切除
amputation 截肢
amsterdam 阿姆斯特丹
amur 黑龙江
amuse 愉快
amusement 娱乐
amusive 有趣
an 一
an 每
ana 言论集
ana 轶事
ana 语录
anacoustic 隔音
anaesthesia 麻醉
anaesthetize 麻醉
anaglyph 立体影片
analagmatic 自反
analects 文选
analog 模拟
analogic 类似
analogically 类似地
analogism 类比推理
analogize 类推说明
analogous 类似
analogy 模拟
analysable 可分析
analyse 分析
analysis 分析
analyst 分析员
analytic 分析
analytical 分析
analyticity 解析性
analyze 分析
analyzer 分析器
anamorphosis 变形
anaphylactic 过敏反应
anaphylaxis 过敏反应
anaplasty 整形术
anarchical 无政府主义
anarchism 无政府主义
anarchy 无政府状态
anastigmatic 消像散
anastomose 吻合
anastomosis 吻合
anatomic 解剖学
anatomical 构造上
anatomist 解剖学家
anatomize 解剖
anatomy 解剖
ancestor 先辈
anchor 锚
anchor 锚定
anchorage 抛锚
anchorage 安吉雷奇
ancient 古代
anciently 从前
ancillary 辅助
and 和
and 与
and 及
and 并且
and 还是
and 同时
and 以及
anecdote 轶事
anechoic 无回声
anelasticity 滞弹性
anemia 贫血
anemometer 风速表
anew 重新
angel 天使
anger 愤怒
anger 恼火
angina 心绞痛
angkor 吴哥
angle 角度
angleiron 角铁
angleworm 蚯蚓
anglicize 英语化
angola 安哥拉
angolan 安哥拉人
angolan 安哥拉
angry 愤怒
angst 焦虑
angstrom 埃
anguish 烦恼
angular 角度
anhedral 正上反角
anhui 安徽
animal 动物
animally 肉体上
animate 鼓舞
animate 生气勃勃
animation 生动
animosity 敌意
animus 意图
anion 阴离子
anionotropy 阴离子移变
anisobaric 不等压
anisoelastic 非等惯性
anisotropic 各向异性
anisotropy 各向异性现象
ankara 安卡拉
ankle 脚脖子
annals 年报
annapolis 安纳波利斯
anneal 退火
annex 合并
annex 附件
annexation 合并
annihilate 歼灭
annihilation 歼灭
anniversary 周年纪念日
annotate 注释
announce 宣布
announcement 布告
annoy 烦恼
annual 年度
annual 年鉴
annually 每年
annul 废止
annular 环形
annulus 环面
annum 年
annunciator 信号器
anode 阳极
anomalous 异常
anomaly 异常
anonymous 匿名
another 另一个
ansa 安莎社
anshan 鞍山
answer 回答
answer 答案
ant 蚂蚁
antaciron 硅铁合金
antagonism 对抗
antagonize 反对
antara 安塔拉通讯社
antarctic 南极
antarctic 南极区
antarctica 南极洲
antecedent 先辈
antecedent 先行
antecessor 前任
antechamber 接待室
antedate 提前
antenna 天线
antennae 天线
anterior 先前
anteroom 接待室
antetype 原型
anthem 赞歌
anthracite 无烟煤
anthrax 炭疽
anti 反
antiarmor 反装甲
antibody 抗体
anticathode 对阴极
anticipate 预见
anticipate 预订
anticipation 预料
anticipative 预期
anticlutter 反干扰
anticyclone 反气旋
antidote 解毒剂
antielectron 正电子
antifreeze 防冻剂
antihalation 消晕作用
antihandling 忌动
antihunt 阻尼
antilysin 抗溶剂
antimagnetic 防磁
antimissile 反导弹
antimonide 锑化物
antimony 锑
antinode 波腹
antinomy 自相矛盾
antioxidant 抗氧剂
antiparticle 反粒子
antipathy 反感
antipole 对称点
antiproton 反质子
antiquated 陈旧
antique 过时
antisepsis 防腐
antiseptic 防腐
antistatic 抗静电
antistatics 防电剂
antitank 反坦克
antitheist 无神论者
antithesis 对立面
antitone 反序
antivibrator 减震器
antiwar 反战
antonym 反义词
anxiety 忧虑
anxious 忧虑
any 任何
any 任何的
anyang 安阳
anybody 任何人
anyhow 无论如何
anymore 再
anyone 任何人
anyplace 任何什么地方
anything 任何事物
anytime 在任何时候
anywhere 无论何地
anywise 以任何方式
apareon 远火星点
apart 分开
apartment 公寓
ape 模仿
ape 猿
ape 猩猩
apeman 猿人
aperiodic 非周期性
aperture 孔径
apex 顶点
aphasia 失语症
aphelion 远日点
aphorism 格言
apia 阿皮亚
aplune 远月点
apocalyptic 世界末日
apocenter 远心点
apocynthion 远月点
apogee 远地点
apollo 阿波罗
apologize 道歉
apology 谅解
apoplexy 中风
aposteriori 后天
appal 惊骇
appalling 害怕
appalling 可怕
appallingly 惊人地
apparatus 仪器
apparent 明显
apparition 幻影
appeal 请求
appeal 恳求
appear 出现
appearance 出现
appease 满足
appeasement 缓和
appellant 上诉人
appellation 名称
appellee 被上诉人
appellor 上诉人
append 附加
appendage 附件
appendicitis 阑尾炎
appendix 附录
appertain 属于
appetence 欲望
appetite 胃口
applaud 鼓掌欢迎
apple 苹果
applicable 实用
application 应用
applied 应用
apply 运用
appoint 指定
appoint 下令
appointment 约会
apportion 分配
apposite 适当
appraisal 评价
appraise 评价
appreciable 可观
appreciate 赞赏
appreciation 评价
appreciative 有欣赏力
apprehend 领会理解
apprehensive 有理解力
apprend 捉拿
apprend 了解
apprentice 当学徒
apprentice 学徒
apprise 通知
approach 接近
approach 方法
approbation 批准
appropriate 占用
appropriate 适当
approval 赞同
approve 批准
approximant 近似值
approximate 接近
approximate 近似
april 四月
apriority 先验性
apropos 恰当
apropos 中肯地
apt 易于
apt 倾向于
apt 敏捷
aptitude 才能
apyrous 耐心
aqua 液体
aquagraph 导电敷层
aquarius 宝瓶座
aquaseal 密封剂
aquatic 水上
aqueous 含水
arab 阿拉伯
arab 阿拉伯人
arabic 阿拉伯
aralsea 咸海
arbiter 仲裁者
arbiter 判优器
arbitrary 专断
arbitrate 作出公断
arbor 轴
arch 拱形
arch 主要
architecture 体系结构
archive 归档
archivist 保管员
arcotron 显光管
arctic 北极
are 是
are 在
area 区域
area 地域
arena 场地
arequipa 阿雷基帕
argentina 阿根廷
argentinan 阿根廷
argentinan 阿根廷人
argil 陶土
argon 氩
arguable 可争辩
arguably 可争辩地
argue 争辩
argue 主张
argument 争论
aries 白羊座
arise 出现
arithmetic 算术
arithmetical 算术
arithmometer 四则计算机
arizona 亚利桑那
arkansas 阿肯色
arm 手臂
arm 胳臂
arm 武装
arm 装备
armament 军备
armor 装甲
armored 装甲
armoury 军械库
arms 武器
arms 武装
armsreserve 预备队
army 军队
around 大约
around 围绕
around 在
around 绕过
arouse 唤起
arrange 安排
array 数组
array 部署
arrear 欠款
arrest 吸引
arrest 拘捕
arrhythmia 心律不齐
arrival 到达
arrive 到达
arrogate 冒称
arrow 箭
arrowy 笔直
arse 屁股
arse 饭桶
arsenal 武器库
arsenic 砷
arsenide 砷化物
arsenite 亚砷酸盐
art 艺术
art 技术
art 巧妙
arterial 动脉
artery 动脉
arthritis 风湿性关节炎
article 文章
articulate 表达清晰
articulate 清楚说出
articulation 清晰度
artifact 人工制品
artifice 技巧
artificer 技工
artificial 人工
artificially 人工
artillery 炮兵
artist 艺术家
artless 朴实
as 当
as 像
as 同样地
as 当做
as 作为
as 如同
as 关于
as 因为
asbestos 石棉
ascend 上升
ascending 上升
ascension 上升
ascertain 弄清楚
ascites 腹水
ascribe 归结
ash 灰
ash 灰烬
ashamed 惭愧
ashen 灰色
ashtray 烟灰缸
asia 亚洲
asian 亚洲人
asian 亚洲
aside 在旁边
ask 问
ask 要求
ask 有人问
assailable 易遭攻击
assam 阿萨姆
assault 袭击
assay 化验
assemble 集结
assembly 装配
assembly 汇编
assembly 集结
assent 同意
assert 声称
assert 断言
assess 评估
assessment 评估
assessor 鉴定者
asset 资源
assiduity 勤勉
assify 愚弄
assign 分配
assign 指派
assignee 代理人
assignment 任务
assignment 分配
assimilate 吸收
assist 援助
assist 提供援助
assistance 援助
assistant 助手
associate 联系
association 联系
association 协会
associative 相联
assort 分类配全
assorted 分类配全
assorted 多样混合
assortment 分类
assume 假定
assume 采取
assumption 假定
assurance 确信
assure 保证
astable 不稳定
astatic 不稳定
astatine 砹
asterisk 星号
asteroid 星形曲线
asteroid 星状
asthenopia 无力
asthma 气喘
astia 美国军事技术情报处
astigmatic 散光
astigmatism 象散
astigmatizer 象散器
astonish 大为吃惊
astound 震惊
astral 星形
astrict 束缚
astride 在
astrionics 天文电子学
astrodome 天文观测舱
astroid 星形
astroid 星形线
astrolabe 星盘
astronaut 宇航员
astronautic 宇航
astronautics 宇航学
astronomer 天文学家
astronomic 天文学
astronomical 天文
astronomy 天文学
astrophysics 天文物理学
astrovehicle 宇宙飞行器
asuage 缓和
asuncion 亚松森
aswan 阿斯旺
asylum 收容所
asymmetric 不对称
asymmetry 不对称
asymptomatic 无症状
asymptote 渐近线
asynchronism 异步
asynchronous 异步
at 在
at 向
at 对
at 于
at 由
at 以
at 目的旨在
ataxia 混乱
ataxic 混乱
atbm 反战术弹道导弹
atgm 反坦克导弹
athens 雅典
atlanta 亚特兰大
atlantic 大西洋
atmometer 汽化计
atmosphere 大气层
atmosphere 气氛
atmospheric 大气层
atom 原子
atomic 原子
atomize 喷雾
atone 弥补
atrophy 萎缩
attach 配属
attache 专员
attachment 配属
attack 进攻
attacker 进攻者
attain 达到
attempt 试图
attend 注意
attend 出席
attendance 出席
attention 注意
attentive 注意
attenuate 削弱
attenuator 衰减器
attest 证明
attestation 证明
attire 服装
attitude 态度
attitudinize 做作
attorney 律师
attract 吸引
attraction 吸引
attractive 具有吸引力
attributable 可归因
attribute 属性
attribute 归因于
attrition 损耗
attune 调谐
atypical 非典型
auckland 奥克兰
auction 拍卖
audibility 可听度
audible 可听
audience 听众
audifier 音频放大器
audiolocator 声波定位器
audiometer 听度计
audiomonitor 监听器
audion 三级管
audit 检查
auditorium 礼堂
auditory 听觉
augment 加强
augmentation 增加
august 八月
august 威严
augustly 威严地
augustness 庄严
aunt 伯母
aural 听觉
auriga 御夫座
aurora 极光
auspice 预兆
auspicious 吉祥
australasia 澳大利西亚
australia 澳大利亚
australian 澳大利亚
australian 澳大利亚人
austria 奥地利
austrian 奥地利人
austrian 奥地利
authentic 可信
authenticate 鉴别
author 作者
authority 当局
authorize 批准
authorship 著作
auto 汽车
autoalarm 自动报警器
autoboat 汽艇
autocar 汽车
autocontrol 自动控制
autodyne 自差
autograph 署名
autograph 手稿
autokeyer 自动键控器
automanual 半自动
automat 自动装置
automate 自动化
automated 自动
automated 自动化
automatic 自动
automation 自动化
automaton 自动机
automobile 汽车
automotive 机动
autonomous 自治
autonomy 自治
autopilot 自动驾驶仪
autopsy 尸体解剖
autosyn 自动同步机
autotimer 自动定时器
autotune 自动调谐
autumn 秋天
auxiliary 辅助
avail 利用
availability 实用性
available 可供使用
avalanche 雪崩
avarua 阿瓦鲁阿
avenge 报仇
avenue 路
aver 断言
average 平均
average 平均值
average 平均为
averment 断言
avert 转移
aviation 航空
avid 渴望
avignon 阿维尼翁
avlb 装甲架桥车
avocation 业余爱好
avoid 避免
avoidable 可以避免
avoidance 避免
avouch 确保
avow 承认
avowal 声明
await 等待
awake 唤醒
award 授与
award 奖赏
aware 了解到
awe 畏惧
awe 敬畏
awe 威吓
awesome 令人敬畏
awful 可怕
awfully 十分
awkward 笨拙
axe 削减
axe 斧子
axe 轴心
axes 轴
axiom 公理
axiomatic 公理
axis 路线
axle 车轴
azerbaijan 阿塞拜疆
azimuthal 方位
azores 亚速尔群岛
baal 太阳神
babbitt 巴氏合金
babble 含糊其辞
babble 轻轻作响
baboon 狒狒
baby 微型
baby 婴儿
babylon 巴比伦
babylonian 巴比伦
babylonion 巴比伦人
bach 单身汉
bachelor 单身汉
bachelor 学士
bacillary 杆菌
bacillus 杆菌
back 往回
back 后部
back 后退
back 退格
backache 腰痛
backbite 背后议论
backbone 支柱
backbreaking 令人折断腰
backcountry 偏远地区
backdown 原先态度的改变
backer 支持者
backfire 逆火
background 背景
backing 支持
backing 后退
backslide 倒退
backtrack 回溯
backup 后备支撑
backward 落后
backward 反向地
backwardness 落后
backwater 停滞不前的状态
backyard 后院
bacon 培根
bacon 咸肉
bacteria 细菌
bactericidal 杀菌
bactericide 杀菌剂
bacteriology 细菌学
bacterium 细菌
